0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27
 Yes he is very funny Do you not like scary movies? just watched the mask last night! there is a new one [ITEM]| Tell me what kind of movies do you like? I love to watch funny movies| Did you watch [ITEM] ?| yes, i love adam sandler| and [ITEM] ?|||||||||||||||||||||||
 Hahaha you enjoy those kind of movies!! i hope i have helped That one is the best! thanks for the help| Tell me what kind of movies do you like? I love to watch funny movies| Did you watch [ITEM] ?| yes, i love adam sandler| and [ITEM] ?| Yes he is very funny Do you not like scary movies? just watched the mask last night! there is a new one [ITEM]| i like some scary movie And did you watch [ITEM] ?|||||||||||||||||||||
 No heard it is very good| Hello me what kind of movies do you like? I like all movies, what are your suggestions?| Did you watch [ITEM] ?|||||||||||||||||||||||||
 Yes it is really good I love Adam Sandler movies| Hello me what kind of movies do you like? I like all movies, what are your suggestions?| Did you watch [ITEM] ?| No heard it is very good| I can tell you to watch [ITEM]|||||||||||||||||||||||
 But that is a scary one i would recommend you [ITEM] Sounds scary but will have to check it out!| Hello me what kind of movies do you like? I like all movies, what are your suggestions?| Did you watch [ITEM] ?| No heard it is very good| I can tell you to watch [ITEM]| Yes it is really good I love Adam Sandler movies| You can watch too if you want to [ITEM]|||||||||||||||||||||
 Thank you!| Hello me what kind of movies do you like? I like all movies, what are your suggestions?| Did you watch [ITEM] ?| No heard it is very good| I can tell you to watch [ITEM]| Yes it is really good I love Adam Sandler movies| You can watch too if you want to [ITEM]| But that is a scary one i would recommend you [ITEM] Sounds scary but will have to check it out!| These are great suggestions And also [ITEM]|||||||||||||||||||
 I hope i have helped Good bye Enjoy them Goodbye| Hello me what kind of movies do you like? I like all movies, what are your suggestions?| Did you watch [ITEM] ?| No heard it is very good| I can tell you to watch [ITEM]| Yes it is really good I love Adam Sandler movies| You can watch too if you want to [ITEM]| But that is a scary one i would recommend you [ITEM] Sounds scary but will have to check it out!| These are great suggestions And also [ITEM]| Thank you!| Yes|||||||||||||||||
 yes i liked that one| What kind of movies do you like? Hello| i open to any movie have you seen [ITEM]|||||||||||||||||||||||||
 i watched [ITEM] the old one| What kind of movies do you like? Hello| i open to any movie have you seen [ITEM]| yes i liked that one| actually i want to watch it again i also watch [ITEM] or the [ITEM] was a goid one ot|||||||||||||||||||||||
 but i will try| What kind of movies do you like? Hello| i open to any movie have you seen [ITEM]| yes i liked that one| actually i want to watch it again i also watch [ITEM] or the [ITEM] was a goid one ot| i watched [ITEM] the old one| i have not seen the new one if you like scary movies [ITEM] is pretty scary|||||||||||||||||||||
 Do you mean [ITEM] ?| hi hello| i am open to any movie Whatever you recommend i watched [ITEM] and i liked it i also liked [ITEM] i like movies made by Adan Sandler As Marvel movies too My fav movie is [ITEM]|||||||||||||||||||||||||
 Yeah i enjoyed it| hi hello| i am open to any movie Whatever you recommend i watched [ITEM] and i liked it i also liked [ITEM] i like movies made by Adan Sandler As Marvel movies too My fav movie is [ITEM]| Do you mean [ITEM] ?| i have not seen it but i will try i watched [ITEM] and i really liked [ITEM] was good|||||||||||||||||||||||
 i'm open to any movie| Hello hi||||||||||||||||||||||||||
 i also like scary movies| Hello hi| i'm open to any movie| What would you recommend me? i liked [ITEM] [ITEM] is my fav||||||||||||||||||||||||
 i also watched [ITEM]| Hello hi| i'm open to any movie| What would you recommend me? i liked [ITEM] [ITEM] is my fav| i also like scary movies| i watched [ITEM] how about [ITEM]||||||||||||||||||||||
 A funny one| Hello hi| i'm open to any movie| What would you recommend me? i liked [ITEM] [ITEM] is my fav| i also like scary movies| i watched [ITEM] how about [ITEM]| i also watched [ITEM]| NO, i have not seen that one i guess i would try that one tomorrow i also watched [ITEM] the old one Which another one would you recommend me? its by rob Zombie||||||||||||||||||||
 I could enjoyed so much| Hello hi| i'm open to any movie| What would you recommend me? i liked [ITEM] [ITEM] is my fav| i also like scary movies| i watched [ITEM] how about [ITEM]| i also watched [ITEM]| NO, i have not seen that one i guess i would try that one tomorrow i also watched [ITEM] the old one Which another one would you recommend me? its by rob Zombie| A funny one| Like [ITEM] by Adan Sandler [ITEM]||||||||||||||||||
 Good bye| Hello hi| i'm open to any movie| What would you recommend me? i liked [ITEM] [ITEM] is my fav| i also like scary movies| i watched [ITEM] how about [ITEM]| i also watched [ITEM]| NO, i have not seen that one i guess i would try that one tomorrow i also watched [ITEM] the old one Which another one would you recommend me? its by rob Zombie| A funny one| Like [ITEM] by Adan Sandler [ITEM]| I could enjoyed so much| No, i have not watched that one Thank you for helping me Good bye you're the same person||||||||||||||||
 i just watched [ITEM] and i liked it| Hello i would like to see any movie yo recommend me i am open to any movie Are you looking for something older or newer?||||||||||||||||||||||||||
 do you mean [ITEM] ?| Hello i would like to see any movie yo recommend me i am open to any movie Are you looking for something older or newer?| i just watched [ITEM] and i liked it| Whatever I also like old movies Like [ITEM] i can not forget that movie i like scary movies too like [ITEM] the old one i have not seen [ITEM] the new one i've heard is very good i do not know How about the The sixth Battalion?||||||||||||||||||||||||
 good bye| Hello i would like to see any movie yo recommend me i am open to any movie Are you looking for something older or newer?| i just watched [ITEM] and i liked it| Whatever I also like old movies Like [ITEM] i can not forget that movie i like scary movies too like [ITEM] the old one i have not seen [ITEM] the new one i've heard is very good i do not know How about the The sixth Battalion?| do you mean [ITEM] ?| i have not seen it but it sounds awesome Well, thank you for helping me i'll try that one Yes that is the movie I suggest.||||||||||||||||||||||
 help me with another conversation ;(| Hello i would like to see any movie yo recommend me i am open to any movie Are you looking for something older or newer?| i just watched [ITEM] and i liked it| Whatever I also like old movies Like [ITEM] i can not forget that movie i like scary movies too like [ITEM] the old one i have not seen [ITEM] the new one i've heard is very good i do not know How about the The sixth Battalion?| do you mean [ITEM] ?| i have not seen it but it sounds awesome Well, thank you for helping me i'll try that one Yes that is the movie I suggest.| good bye| remember to say good bye Goodbye||||||||||||||||||||
 not yet is it good| I like scary movies, can you make a suggestion? Have you ever seen [ITEM]||||||||||||||||||||||||||
 It is about paranormal activities but it was definitely scary Can you make other paranoramal suggestions| I like scary movies, can you make a suggestion? Have you ever seen [ITEM]| not yet is it good| Yes very much so!||||||||||||||||||||||||
 have you seen that at all? oh yes and the sequel [ITEM]| I like scary movies, can you make a suggestion? Have you ever seen [ITEM]| not yet is it good| Yes very much so!| It is about paranormal activities but it was definitely scary Can you make other paranoramal suggestions| or slasher films like [ITEM] are good to I wasn't a big fan of [ITEM]||||||||||||||||||||||
 good bye| I like scary movies, can you make a suggestion? Have you ever seen [ITEM]| not yet is it good| Yes very much so!| It is about paranormal activities but it was definitely scary Can you make other paranoramal suggestions| or slasher films like [ITEM] are good to I wasn't a big fan of [ITEM]| have you seen that at all? oh yes and the sequel [ITEM]| These are good suggestions though thank you! absolutely, enjoy!||||||||||||||||||||
 i'm open to any movie| hello Hi, I'm looking for a good docutmentary||||||||||||||||||||||||||
 Man, right now i'm the seeker the person who is looking for movies| hello Hi, I'm looking for a good docutmentary| i'm open to any movie| any suggestions?||||||||||||||||||||||||
 you can read that onto the chat| hello Hi, I'm looking for a good docutmentary| i'm open to any movie| any suggestions?| Man, right now i'm the seeker the person who is looking for movies| so that means you are the person who recommend my apologies||||||||||||||||||||||
 I like movies made by Adan Sandler| hello Hi, I'm looking for a good docutmentary| i'm open to any movie| any suggestions?| Man, right now i'm the seeker the person who is looking for movies| so that means you are the person who recommend my apologies| you can read that onto the chat| Don't worry man we are here to help So i'm looking for any movies i watched [ITEM] and i liked it Have you seen [ITEM]||||||||||||||||||||
 Remember to say good bye at the end of this chat| hello Hi, I'm looking for a good docutmentary| i'm open to any movie| any suggestions?| Man, right now i'm the seeker the person who is looking for movies| so that means you are the person who recommend my apologies| you can read that onto the chat| Don't worry man we are here to help So i'm looking for any movies i watched [ITEM] and i liked it Have you seen [ITEM]| I like movies made by Adan Sandler| Yes and i liked it! i also watched [ITEM] i like those kind of movies i watched [ITEM] and it was awesome My favorite Adam Sandler movie is definitely [ITEM]||||||||||||||||||
 Good bye| hello Hi, I'm looking for a good docutmentary| i'm open to any movie| any suggestions?| Man, right now i'm the seeker the person who is looking for movies| so that means you are the person who recommend my apologies| you can read that onto the chat| Don't worry man we are here to help So i'm looking for any movies i watched [ITEM] and i liked it Have you seen [ITEM]| I like movies made by Adan Sandler| Yes and i liked it! i also watched [ITEM] i like those kind of movies i watched [ITEM] and it was awesome My favorite Adam Sandler movie is definitely [ITEM]| Remember to say good bye at the end of this chat| And i wait for you in another chat ;) Thank you very much thank you, good bye||||||||||||||||
 have you ever seen [ITEM] ? I have seen [ITEM] I very much enjoyed this movie. When I was younger I liked movies like [ITEM] .| hello Hello, I am looking for some movie recommendations. Do you have any Horror Movies that you could suggest for me?| I do!|||||||||||||||||||||||||
 I also liked to watch the [ITEM] Series.| hello Hello, I am looking for some movie recommendations. Do you have any Horror Movies that you could suggest for me?| I do!| have you ever seen [ITEM] ? I have seen [ITEM] I very much enjoyed this movie. When I was younger I liked movies like [ITEM] .| I liked that one too!|||||||||||||||||||||||
 mainly because Johnny Depp is in it I love Johnny Depp! So handsome, such a great actor.| hello Hello, I am looking for some movie recommendations. Do you have any Horror Movies that you could suggest for me?| I do!| have you ever seen [ITEM] ? I have seen [ITEM] I very much enjoyed this movie. When I was younger I liked movies like [ITEM] .| I liked that one too!| I also liked to watch the [ITEM] Series.| I loved that as well|||||||||||||||||||||
 one of my favorites from him is [ITEM] I am not sure if I have ever seen that movie, I am going to have to check that one out.| hello Hello, I am looking for some movie recommendations. Do you have any Horror Movies that you could suggest for me?| I do!| have you ever seen [ITEM] ? I have seen [ITEM] I very much enjoyed this movie. When I was younger I liked movies like [ITEM] .| I liked that one too!| I also liked to watch the [ITEM] Series.| I loved that as well| mainly because Johnny Depp is in it I love Johnny Depp! So handsome, such a great actor.| I love johnny Depp in [ITEM] . Me too|||||||||||||||||||
 Thinking of Johnny Depp have you ever seen the movie [ITEM] ? It is a story By the author Steven King.| hello Hello, I am looking for some movie recommendations. Do you have any Horror Movies that you could suggest for me?| I do!| have you ever seen [ITEM] ? I have seen [ITEM] I very much enjoyed this movie. When I was younger I liked movies like [ITEM] .| I liked that one too!| I also liked to watch the [ITEM] Series.| I loved that as well| mainly because Johnny Depp is in it I love Johnny Depp! So handsome, such a great actor.| I love johnny Depp in [ITEM] . Me too| one of my favorites from him is [ITEM] I am not sure if I have ever seen that movie, I am going to have to check that one out.| It is very creepy and dark but full of suspense|||||||||||||||||
 I love a good Steven King movie His performance in that movie is phenomenal.| hello Hello, I am looking for some movie recommendations. Do you have any Horror Movies that you could suggest for me?| I do!| have you ever seen [ITEM] ? I have seen [ITEM] I very much enjoyed this movie. When I was younger I liked movies like [ITEM] .| I liked that one too!| I also liked to watch the [ITEM] Series.| I loved that as well| mainly because Johnny Depp is in it I love Johnny Depp! So handsome, such a great actor.| I love johnny Depp in [ITEM] . Me too| one of my favorites from him is [ITEM] I am not sure if I have ever seen that movie, I am going to have to check that one out.| It is very creepy and dark but full of suspense| Thinking of Johnny Depp have you ever seen the movie [ITEM] ? It is a story By the author Steven King.| I own it! I actually have a poster still on my door from it, it was really good|||||||||||||||
 good bye good bye.| hello Hello, I am looking for some movie recommendations. Do you have any Horror Movies that you could suggest for me?| I do!| have you ever seen [ITEM] ? I have seen [ITEM] I very much enjoyed this movie. When I was younger I liked movies like [ITEM] .| I liked that one too!| I also liked to watch the [ITEM] Series.| I loved that as well| mainly because Johnny Depp is in it I love Johnny Depp! So handsome, such a great actor.| I love johnny Depp in [ITEM] . Me too| one of my favorites from him is [ITEM] I am not sure if I have ever seen that movie, I am going to have to check that one out.| It is very creepy and dark but full of suspense| Thinking of Johnny Depp have you ever seen the movie [ITEM] ? It is a story By the author Steven King.| I own it! I actually have a poster still on my door from it, it was really good| I love a good Steven King movie His performance in that movie is phenomenal.| I am a huge fan of Steven King. His novels help foster my love of reading and story telling. Well thank you for talking with me. I think I am ready for my movie night now. excellent! I hope you enjoy|||||||||||||
 I want to have a movie night with friends. I have not seen [ITEM] but I think it looks really good. I do love scary movies.| Hello, I am looking for some movie suggestions. What would you suggest? Are you looking for movies currently in theatres? I like [ITEM]||||||||||||||||||||||||||
 I have not seen [ITEM] [ITEM] is a good suggestion for me I have seen [ITEM] it was very good. I also very much enjoy watching an old movie like [ITEM] and then watching the remake [ITEM] .| Hello, I am looking for some movie suggestions. What would you suggest? Are you looking for movies currently in theatres? I like [ITEM]| I want to have a movie night with friends. I have not seen [ITEM] but I think it looks really good. I do love scary movies.| One of the best scary movies I have seen in recent years is [ITEM] , have you seen this one? If you like recent scary movies, I might suggest [ITEM]||||||||||||||||||||||||
 How about a recommendation for a comedy. After all these scary movies we will need something to lighten the mood at the end of the evening.| Hello, I am looking for some movie suggestions. What would you suggest? Are you looking for movies currently in theatres? I like [ITEM]| I want to have a movie night with friends. I have not seen [ITEM] but I think it looks really good. I do love scary movies.| One of the best scary movies I have seen in recent years is [ITEM] , have you seen this one? If you like recent scary movies, I might suggest [ITEM]| I have not seen [ITEM] [ITEM] is a good suggestion for me I have seen [ITEM] it was very good. I also very much enjoy watching an old movie like [ITEM] and then watching the remake [ITEM] .| It is very interesting to see what changes and what does not, to see the difference that all these years makes in the style of the movie. I enjoyed [ITEM] but have not seen [ITEM] or [ITEM]||||||||||||||||||||||
 Oh i have never seen that I will have to check it out. Well I think I am ready for my movie night now. Thank you so much.| Hello, I am looking for some movie suggestions. What would you suggest? Are you looking for movies currently in theatres? I like [ITEM]| I want to have a movie night with friends. I have not seen [ITEM] but I think it looks really good. I do love scary movies.| One of the best scary movies I have seen in recent years is [ITEM] , have you seen this one? If you like recent scary movies, I might suggest [ITEM]| I have not seen [ITEM] [ITEM] is a good suggestion for me I have seen [ITEM] it was very good. I also very much enjoy watching an old movie like [ITEM] and then watching the remake [ITEM] .| It is very interesting to see what changes and what does not, to see the difference that all these years makes in the style of the movie. I enjoyed [ITEM] but have not seen [ITEM] or [ITEM]| How about a recommendation for a comedy. After all these scary movies we will need something to lighten the mood at the end of the evening.| Maybe something classic like [ITEM] I like [ITEM] the original British comedy.||||||||||||||||||||
 Good Bye| Hello, I am looking for some movie suggestions. What would you suggest? Are you looking for movies currently in theatres? I like [ITEM]| I want to have a movie night with friends. I have not seen [ITEM] but I think it looks really good. I do love scary movies.| One of the best scary movies I have seen in recent years is [ITEM] , have you seen this one? If you like recent scary movies, I might suggest [ITEM]| I have not seen [ITEM] [ITEM] is a good suggestion for me I have seen [ITEM] it was very good. I also very much enjoy watching an old movie like [ITEM] and then watching the remake [ITEM] .| It is very interesting to see what changes and what does not, to see the difference that all these years makes in the style of the movie. I enjoyed [ITEM] but have not seen [ITEM] or [ITEM]| How about a recommendation for a comedy. After all these scary movies we will need something to lighten the mood at the end of the evening.| Maybe something classic like [ITEM] I like [ITEM] the original British comedy.| Oh i have never seen that I will have to check it out. Well I think I am ready for my movie night now. Thank you so much.| Thanks, enjoy!||||||||||||||||||
 i also watched [ITEM]| Hello, what type of movies do you like? whatever| i just watched [ITEM] i really liked I have not seen [ITEM]|||||||||||||||||||||||||
 i also liked [ITEM]| Hello, what type of movies do you like? whatever| i just watched [ITEM] i really liked I have not seen [ITEM]| i also watched [ITEM]| the new one i have not seen the old one [ITEM] Have you seen [ITEM] I would recommend it.|||||||||||||||||||||||
 good bye i'll see you in another chat ;)| Hello, what type of movies do you like? whatever| i just watched [ITEM] i really liked I have not seen [ITEM]| i also watched [ITEM]| the new one i have not seen the old one [ITEM] Have you seen [ITEM] I would recommend it.| i also liked [ITEM]| no, i have not seen i think i will try that one thank you for helping me I saw [ITEM] I like [ITEM]|||||||||||||||||||||
 I know it is older but it was good? I feel like it was so much more intense than [ITEM]| Hello, have you seen the new IT movie? I have! I loved it.| How about the Sixth Sense?|||||||||||||||||||||||||
 I think I've seen the [ITEM] but its been ages ago| Hello, have you seen the new IT movie? I have! I loved it.| How about the Sixth Sense?| I know it is older but it was good? I feel like it was so much more intense than [ITEM]| I agree it was more intense then It(1988)|||||||||||||||||||||||
 I just finished seeing [ITEM] and loved the action. But I'm all caught up on the marvel movies now.| Hello, have you seen the new IT movie? I have! I loved it.| How about the Sixth Sense?| I know it is older but it was good? I feel like it was so much more intense than [ITEM]| I agree it was more intense then It(1988)| I think I've seen the [ITEM] but its been ages ago| What kind of movie are you looking for now?|||||||||||||||||||||
 I think that would be an excellent idea, Bruce Willis is one of my favorite actors. Honestly, thinking about it now I'm pretty sure I was thinking of [ITEM] earlier.| Hello, have you seen the new IT movie? I have! I loved it.| How about the Sixth Sense?| I know it is older but it was good? I feel like it was so much more intense than [ITEM]| I agree it was more intense then It(1988)| I think I've seen the [ITEM] but its been ages ago| What kind of movie are you looking for now?| I just finished seeing [ITEM] and loved the action. But I'm all caught up on the marvel movies now.| Might I suggest you go back and watch the movie Sixth Sense since you cannot remember if you saw it?|||||||||||||||||||
 Right!? I can't tell you how many times I've rewatched [ITEM] and still enjoy it just a much.| Hello, have you seen the new IT movie? I have! I loved it.| How about the Sixth Sense?| I know it is older but it was good? I feel like it was so much more intense than [ITEM]| I agree it was more intense then It(1988)| I think I've seen the [ITEM] but its been ages ago| What kind of movie are you looking for now?| I just finished seeing [ITEM] and loved the action. But I'm all caught up on the marvel movies now.| Might I suggest you go back and watch the movie Sixth Sense since you cannot remember if you saw it?| I think that would be an excellent idea, Bruce Willis is one of my favorite actors. Honestly, thinking about it now I'm pretty sure I was thinking of [ITEM] earlier.| I love Bruce Willis too and can watch the movie over and over.|||||||||||||||||
 Thank you for the recommendation, I'll definitely have to watch it this week!| Hello, have you seen the new IT movie? I have! I loved it.| How about the Sixth Sense?| I know it is older but it was good? I feel like it was so much more intense than [ITEM]| I agree it was more intense then It(1988)| I think I've seen the [ITEM] but its been ages ago| What kind of movie are you looking for now?| I just finished seeing [ITEM] and loved the action. But I'm all caught up on the marvel movies now.| Might I suggest you go back and watch the movie Sixth Sense since you cannot remember if you saw it?| I think that would be an excellent idea, Bruce Willis is one of my favorite actors. Honestly, thinking about it now I'm pretty sure I was thinking of [ITEM] earlier.| I love Bruce Willis too and can watch the movie over and over.| Right!? I can't tell you how many times I've rewatched [ITEM] and still enjoy it just a much.| Oh yes, one of my favorites. I hope you enjoy Sixth Sense (1999) even if you have seen it.|||||||||||||||
 Yeah i like [ITEM] adam sandler is so silly| Hello, I heard that you are looking for a movie recommendation. What sort of movies are you into? I like comedies and movies that have really cool cinemotography| I like [ITEM] [ITEM] And i watched [ITEM] last night and it was pretty good I have never seen either of those movies. do you like comedies like [ITEM] or something like [ITEM]|||||||||||||||||||||||||
 [ITEM] is my favorite| Hello, I heard that you are looking for a movie recommendation. What sort of movies are you into? I like comedies and movies that have really cool cinemotography| I like [ITEM] [ITEM] And i watched [ITEM] last night and it was pretty good I have never seen either of those movies. do you like comedies like [ITEM] or something like [ITEM]| Yeah i like [ITEM] adam sandler is so silly| i like absurdist humor Yes Adam Sandler has made so many great movies, I even like his newer ones like [ITEM] and [ITEM] .|||||||||||||||||||||||
